Unnamed: 0,log_likelihood
0,290.2972412109375
1,208.3036193847656
2,306.171875
3,305.2364807128906
4,336.6814270019531
5,311.80780029296875
6,305.6610107421875
7,293.2313232421875
8,312.79876708984375
9,291.21044921875
10,307.494873046875
11,309.0734558105469
12,298.3223876953125
13,118.5963363647461
14,339.80419921875
15,330.8124084472656
16,310.127685546875
17,326.2247314453125
18,312.5341796875
19,329.5340881347656
20,310.0795593261719
21,344.7508239746094
22,317.4990234375
23,220.00436401367188
24,309.14349365234375
25,294.95440673828125
26,270.629150390625
27,245.805908203125
28,316.0722961425781
29,246.2037353515625
30,306.3849792480469
31,342.9789123535156
32,341.97210693359375
33,329.89129638671875
34,297.2181091308594
35,305.89251708984375
36,278.03536987304693
37,341.7789611816406
38,283.106201171875
39,321.84783935546875
40,328.61004638671875
41,311.70330810546875
42,317.2548828125
43,272.51181030273443
44,327.44830322265625
45,249.9430694580078
46,337.64654541015625
47,343.53125
48,299.34613037109375
49,286.7546691894531
50,320.1427917480469
51,331.0306701660156
52,306.3304138183594
53,342.76788330078125
54,297.1581115722656
55,320.21307373046875
56,334.22454833984375
57,285.051513671875
58,313.9273986816406
59,333.25604248046875
60,293.77001953125
61,295.588134765625
62,304.735595703125
63,301.5376892089844
64,279.78921508789057
65,226.7200164794922
66,277.89959716796875
67,318.36492919921875
68,334.98419189453125
69,286.59881591796875
70,305.2569274902344
71,279.48065185546875
72,304.52911376953125
73,324.7633361816406
74,312.1002502441406
75,307.2735290527344
76,254.3768310546875
77,233.8555450439453
78,312.701904296875
79,329.18157958984375
80,310.5099792480469
81,322.28961181640625
82,329.4004211425781
83,244.2521514892578
84,272.269775390625
85,319.75543212890625
86,319.22393798828125
87,237.1032257080078
88,256.279052734375
89,324.3134460449219
90,336.67852783203125
91,339.69317626953125
92,318.6607666015625
93,329.6120910644531
94,234.0796661376953
95,290.9393005371094
96,329.15863037109375
97,240.05337524414062
98,331.54425048828125
99,265.18771362304693
100,321.1925964355469
101,298.050537109375
102,322.267333984375
103,281.18887329101557
104,326.68389892578125
105,312.4620666503906
106,287.0766906738281
107,306.57391357421875
108,306.4232482910156
109,314.792724609375
