	elbo	tsne_cost
0	-1956.696533203125	6.406310558319092
1	-1371.7381591796875	12.781445503234863
2	-1097.22216796875	19.269390106201172
3	-925.7374267578125	25.67182159423828
4	-876.367431640625	32.263160705566406
5	-816.9705200195312	38.44831085205078
6	-780.605224609375	44.869781494140625
7	-777.15380859375	51.18259811401367
8	-786.2034301757812	57.85816955566406
9	-781.5665283203125	64.16920471191406
10	-754.4041137695312	70.8311767578125
11	-767.5072021484375	77.03179168701172
12	-736.3931274414062	83.19818115234375
13	-713.8434448242188	90.43987274169922
14	-704.1805419921875	96.59664154052734
15	-678.9818115234375	102.69004821777344
16	-667.649169921875	109.31183624267578
17	-640.1764526367188	115.43351745605469
18	-607.8593139648438	122.00199127197266
19	-501.9986877441406	128.4744873046875
20	-388.264892578125	134.82839965820312
21	-288.8819885253906	140.896240234375
22	-213.63108825683594	148.75411987304688
23	-202.46673583984375	153.90615844726562
24	-282.8667297363281	160.0981903076172
25	-431.37255859375	167.17190551757812
26	-478.6697082519531	173.25927734375
27	-608.0401000976562	179.96788024902344
28	-604.031982421875	185.93016052246094
29	-563.6498413085938	192.0451202392578
30	-463.4452819824219	197.65328979492188
31	-364.6217346191406	202.84197998046875
32	-223.3656768798828	209.28834533691406
33	-119.46722412109375	216.04360961914062
34	-46.77338790893555	221.69161987304688
35	18.135238647460938	227.22584533691406
36	48.844390869140625	234.2943115234375
37	93.26151275634766	239.9019317626953
38	124.32266235351562	246.21047973632812
39	157.44955444335938	251.24014282226562
40	194.16912841796875	258.39080810546875
41	250.01016235351562	263.20782470703125
42	323.4327697753906	271.87567138671875
43	370.8359680175781	276.3569641113281
44	373.3575744628906	282.9217224121094
45	406.2603454589844	290.23724365234375
46	421.7032165527344	296.1124572753906
47	440.5579833984375	303.30389404296875
48	376.9361877441406	309.0567321777344
49	336.5782470703125	316.2809143066406
50	298.658447265625	321.3702697753906
51	272.2906188964844	327.4326477050781
52	256.62030029296875	334.3691711425781
53	185.0033416748047	340.3824768066406
54	158.411376953125	346.25408935546875
55	194.47760009765625	352.55609130859375
56	252.31240844726562	358.6183166503906
57	266.9613952636719	366.1828918457031
58	329.0613708496094	371.220947265625
59	366.7038269042969	376.462158203125
60	402.8885192871094	383.0008544921875
61	408.4146728515625	389.1166076660156
62	431.4719543457031	396.5725402832031
63	454.5602111816406	401.7850036621094
64	505.8442077636719	408.0179138183594
65	508.7967834472656	414.049072265625
66	524.8455810546875	420.9266662597656
67	573.2227172851562	426.77197265625
68	584.031494140625	433.6121520996094
69	642.9716186523438	438.5792541503906
70	647.8294067382812	445.1978759765625
71	675.9244384765625	452.8962097167969
72	662.3871459960938	457.31060791015625
73	647.5342407226562	464.2270812988281
74	597.0897827148438	470.6172790527344
75	618.5327758789062	477.3421936035156
76	608.7403564453125	482.80535888671875
77	621.8435668945312	488.9959411621094
78	575.7560424804688	497.0102233886719
79	537.8710327148438	503.53265380859375
80	547.0846557617188	509.43408203125
81	531.8992309570312	513.8356323242188
82	524.071044921875	520.3342895507812
83	488.61700439453125	527.1865234375
84	524.4769287109375	532.3555908203125
85	555.9544067382812	538.4086303710938
86	577.9883422851562	546.6942138671875
87	605.446533203125	551.9747924804688
88	641.7659912109375	557.758544921875
89	611.6528930664062	564.218505859375
90	667.3028564453125	569.6384887695312
91	695.1927490234375	574.4871826171875
92	715.255859375	581.3790283203125
93	695.8553466796875	587.8289794921875
94	762.275146484375	596.3272094726562
95	816.8980102539062	601.7802734375
96	779.7415771484375	607.48046875
97	789.7636108398438	614.7084350585938
98	761.2266845703125	622.66357421875
99	738.7334594726562	628.5975952148438
100	759.254638671875	632.826904296875
101	761.71337890625	640.6398315429688
102	749.4660034179688	645.2608642578125
103	753.9520874023438	651.093505859375
104	714.0151977539062	657.7899169921875
105	699.9249267578125	663.6260375976562
106	724.8555297851562	669.6475830078125
107	776.5109252929688	676.9413452148438
108	727.8296508789062	682.5628662109375
109	740.61767578125	688.1757202148438
110	749.8013305664062	694.6826782226562
111	738.3654174804688	700.712158203125
112	791.353515625	707.9462890625
113	809.0218505859375	714.1900634765625
114	785.0631713867188	719.2012939453125
115	819.1015625	726.1408081054688
116	834.4303588867188	730.85986328125
117	822.5226440429688	737.9724731445312
118	875.0150146484375	744.2537231445312
119	904.79931640625	748.7333374023438
120	823.30029296875	756.0278930664062
121	823.8910522460938	763.0556640625
122	889.3832397460938	768.4956665039062
123	870.6366577148438	775.5278930664062
124	789.7255249023438	781.08154296875
125	797.7120361328125	787.4344482421875
126	834.2572631835938	792.883056640625
127	814.7095336914062	799.4083251953125
128	813.1170043945312	807.2179565429688
129	841.7724609375	811.6837768554688
130	821.2626953125	818.1150512695312
131	864.526611328125	824.725341796875
132	868.0941772460938	830.4396362304688
133	873.6536254882812	835.8766479492188
134	853.7576293945312	842.6229858398438
135	823.3516845703125	849.2643432617188
136	858.2821655273438	856.0337524414062
137	925.3251342773438	861.1689453125
138	920.8807983398438	868.0552368164062
139	814.9159545898438	875.2321166992188
140	895.8828125	882.174560546875
141	887.80859375	888.501708984375
142	937.400634765625	892.0318603515625
143	892.6256103515625	898.86181640625
144	894.9129638671875	906.0158081054688
145	931.4788818359375	911.95703125
146	891.0034790039062	917.3128662109375
147	871.0179443359375	923.688720703125
148	898.4762573242188	930.1898193359375
149	915.7711791992188	935.7161254882812
150	905.8111572265625	942.7073974609375
151	924.2371215820312	949.9544067382812
152	884.2767944335938	954.896728515625
153	919.8451538085938	962.3528442382812
154	880.3798828125	967.5723266601562
155	901.5182495117188	973.5206298828125
