,tsne_x,tsne_y
0,29.730812072753906,-4.735760688781738
4,14.047335624694824,60.28219985961914
0,27.86480140686035,2.4507622718811035
6,-56.344032287597656,-10.663395881652832
7,12.0460786819458,-48.066341400146484
0,3.9003195762634277,-8.264942169189453
5,20.696075439453125,-18.55524253845215
5,25.327423095703125,-16.853878021240234
2,9.572921752929688,-25.949264526367188
1,-29.936626434326172,-33.01284408569336
4,16.713581085205078,64.00930786132812
0,-1.6953953504562378,0.605674147605896
0,13.658533096313477,1.5043585300445557
6,-57.13356018066406,-27.956886291503906
2,4.373892307281494,-25.188709259033203
2,-5.112001895904541,-21.40949249267578
6,-65.64376831054688,-4.3215107917785645
0,19.001569747924805,14.614849090576172
4,12.625301361083984,58.8339729309082
4,37.244693756103516,56.53937530517578
4,15.735126495361328,60.19793701171875
2,-5.373020172119141,-19.49823760986328
1,-52.97599411010742,-36.673255920410156
4,20.3992977142334,63.58042526245117
2,-11.353940963745117,-12.738035202026367
0,-1.7643558979034424,18.274372100830078
3,-56.41367721557617,11.564866065979004
0,3.1201350688934326,28.492700576782227
0,-6.628317356109619,15.164563179016113
3,-54.796409606933594,8.231893539428711
2,0.7906374335289001,-20.388418197631836
4,41.62226486206055,62.053985595703125
6,-55.92776107788086,-20.538898468017578
2,11.951163291931152,-9.681000709533691
6,-56.025997161865234,-18.79730224609375
0,-4.6258225440979,16.957448959350586
1,-51.10426330566406,-34.85025405883789
3,-56.74650573730469,0.45250654220581055
0,5.976252555847168,27.651704788208008
7,20.038375854492188,-51.45574951171875
5,33.213623046875,-19.796295166015625
0,29.40896987915039,3.815260887145996
0,-6.620102882385254,-2.7985832691192627
0,-3.8313069343566895,10.393830299377441
0,5.456459999084473,15.018633842468262
2,9.292850494384766,-11.168182373046875
0,-9.554126739501953,0.7344521284103394
1,-53.38701248168945,-25.132925033569336
0,-6.245306491851807,26.493675231933594
3,-55.88314437866211,1.4940348863601685
1,-28.158212661743164,-37.47876739501953
3,-63.01626968383789,5.751828193664551
3,-56.55988311767578,7.48870325088501
0,-12.677812576293945,5.94153356552124
0,10.297823905944824,21.60092544555664
4,18.765501022338867,67.8394775390625
1,-51.74760437011719,-26.001981735229492
0,19.801177978515625,22.06873893737793
6,-66.27725219726562,-8.643582344055176
6,-67.3788833618164,-5.890637397766113
0,-4.798903465270996,25.55583953857422
0,-11.617487907409668,30.081697463989258
7,11.851129531860352,-54.00686264038086
1,-49.14488220214844,-2.2694265842437744
0,0.30593621730804443,7.545355319976807
3,-61.82334899902344,2.264916181564331
0,10.640116691589355,9.26989459991455
0,17.112350463867188,19.255544662475586
0,-0.048087019473314285,17.313108444213867
0,19.817230224609375,18.74627685546875
0,18.599668502807617,2.2993674278259277
7,16.70072364807129,-60.429656982421875
2,5.743534088134766,-9.985371589660645
