	elbo	tsne_cost
0	-47179.28125	6.404116630554199
1	-34734.76953125	12.785815238952637
2	-28655.740234375	19.217714309692383
3	-24683.35546875	25.512706756591797
4	-23366.248046875	31.99449348449707
5	-22206.259765625	38.24782180786133
6	-21284.791015625	44.55331802368164
7	-20809.591796875	51.041343688964844
8	-20448.00390625	57.44234848022461
9	-20292.51953125	63.74374008178711
10	-20279.5625	70.55675506591797
11	-19922.12890625	76.87933349609375
12	-19787.69140625	83.27597045898438
13	-19784.810546875	89.70735168457031
14	-19768.29296875	96.60111999511719
15	-19770.90234375	102.65557861328125
16	-19663.1796875	109.0745849609375
17	-19430.56640625	115.11337280273438
18	-19270.18359375	121.32012939453125
19	-19518.328125	128.60125732421875
20	-19185.458984375	133.96646118164062
21	-19283.369140625	140.95809936523438
22	-19227.416015625	147.9252166748047
23	-19189.6015625	154.278076171875
24	-19329.841796875	161.0393524169922
25	-19251.806640625	167.18060302734375
26	-19053.283203125	173.72396850585938
27	-19041.716796875	179.89767456054688
28	-18877.693359375	187.44619750976562
29	-19090.572265625	192.88314819335938
30	-18984.56640625	199.50482177734375
31	-18784.00390625	205.59417724609375
32	-18965.259765625	211.81785583496094
33	-18872.427734375	218.63922119140625
34	-18846.142578125	225.9883270263672
35	-18696.521484375	231.0675811767578
36	-18755.98828125	237.45138549804688
37	-18570.056640625	243.72781372070312
38	-18562.39453125	251.2029571533203
39	-18652.12890625	256.9090576171875
40	-18293.224609375	264.68646240234375
41	-18679.2265625	269.90447998046875
42	-18539.580078125	277.8819580078125
43	-18423.6328125	283.6464538574219
44	-18276.953125	289.3553466796875
45	-18391.2265625	296.1606750488281
46	-18166.701171875	302.5484619140625
47	-18351.099609375	307.67791748046875
48	-18098.927734375	313.76531982421875
49	-18077.060546875	321.197509765625
50	-18060.865234375	328.5239562988281
51	-17930.400390625	333.9624938964844
52	-17752.845703125	339.2923278808594
53	-17649.03125	348.1064453125
54	-17397.513671875	354.93408203125
55	-17429.04296875	360.4811706542969
56	-17387.30859375	365.64068603515625
57	-17162.576171875	372.8581848144531
58	-16833.728515625	380.2030029296875
59	-16496.47265625	385.8641662597656
60	-15762.11328125	391.8655090332031
61	-14762.1240234375	399.4022521972656
62	-13190.470703125	407.6101379394531
63	-11016.7734375	411.2772216796875
64	-9189.568359375	419.1994323730469
65	-8561.8466796875	426.39666748046875
66	-8355.890625	433.2528076171875
67	-8322.0390625	438.15447998046875
68	-8083.69140625	445.5111999511719
69	-7597.95703125	451.59906005859375
70	-6910.525390625	459.28778076171875
71	-6170.3330078125	465.1793212890625
72	-5274.8203125	469.56451416015625
73	-4504.4140625	475.44287109375
74	-3704.7607421875	483.9790954589844
75	-2995.76025390625	488.8608703613281
76	-2242.644287109375	496.3464050292969
77	-1529.427978515625	499.84698486328125
78	-574.8096923828125	507.7803955078125
79	202.40443420410156	514.998291015625
80	1196.408935546875	520.03369140625
81	1288.6256103515625	524.1599731445312
82	2248.0927734375	531.3856811523438
83	1951.25048828125	539.9512329101562
84	3063.2939453125	544.88916015625
85	2647.010498046875	550.3391723632812
86	3421.013916015625	557.1122436523438
87	4170.25341796875	561.7164306640625
88	4245.44091796875	570.2181396484375
89	5825.4404296875	574.763427734375
90	5151.25341796875	582.5091552734375
91	6146.82470703125	584.7484130859375
92	5554.1044921875	593.4532470703125
93	5826.35205078125	599.3450927734375
94	6736.20703125	606.1741333007812
95	7264.2587890625	611.7272338867188
96	7975.7919921875	618.5245971679688
97	8756.53125	624.7531127929688
98	8891.333984375	632.4736328125
99	9254.09765625	637.90283203125
100	9735.759765625	644.4141845703125
101	10283.5732421875	647.18505859375
102	10559.68359375	657.3833618164062
103	11229.259765625	662.1248168945312
104	11670.322265625	670.1676635742188
105	12051.974609375	676.09765625
106	12332.9560546875	681.7060546875
107	12944.9697265625	687.5202026367188
108	12924.841796875	696.1779174804688
109	13402.3779296875	702.3768920898438
110	12842.8564453125	705.9109497070312
111	13196.7294921875	712.9547729492188
112	12270.6884765625	717.8373413085938
113	11997.0185546875	726.3828735351562
114	10461.61328125	732.1730346679688
115	9312.8115234375	739.310302734375
116	9152.7919921875	743.6023559570312
117	8547.666015625	750.668212890625
118	9118.87890625	757.6519165039062
119	9079.845703125	762.443603515625
120	9176.9052734375	768.4072875976562
121	9647.744140625	777.2875366210938
122	9960.3330078125	783.5127563476562
123	9970.5068359375	788.27294921875
124	9708.298828125	795.3536376953125
125	10343.24609375	800.7017211914062
126	10571.6943359375	806.595458984375
127	10778.48828125	815.0834350585938
128	11143.076171875	820.5963745117188
129	11441.0146484375	829.0082397460938
130	11651.580078125	831.84033203125
131	11991.2041015625	838.5117797851562
132	12562.6484375	844.6159057617188
133	13163.2939453125	852.8800048828125
134	13504.423828125	858.2093505859375
135	13901.8447265625	866.5288696289062
136	14191.11328125	871.1587524414062
137	14425.044921875	876.9839477539062
138	14908.486328125	882.1346435546875
139	14867.2177734375	891.51025390625
140	14602.666015625	895.8623657226562
141	14079.4462890625	902.4150390625
142	14486.8447265625	910.9280395507812
143	14000.5712890625	914.959228515625
144	15105.0771484375	921.8470458984375
145	14757.0458984375	931.3639526367188
146	15719.2333984375	934.5911254882812
147	16052.3076171875	940.0940551757812
148	16477.337890625	947.5983276367188
149	16522.357421875	951.2993774414062
150	16601.3984375	959.412841796875
151	16942.23046875	967.3605346679688
152	17466.779296875	975.0820922851562
153	17185.349609375	977.0787963867188
154	18000.0703125	983.0199584960938
155	17756.310546875	987.033447265625
156	18206.14453125	999.869140625
157	18076.369140625	1002.396484375
158	18080.8046875	1015.2219848632812
159	18360.556640625	1015.4061279296875
160	18585.388671875	1023.009765625
161	18554.29296875	1027.89990234375
162	18237.9375	1031.153076171875
163	18551.6640625	1042.4197998046875
164	18030.791015625	1047.3922119140625
165	16708.73828125	1052.6373291015625
166	16400.396484375	1060.1129150390625
167	14367.0029296875	1067.4700927734375
168	14900.193359375	1076.8704833984375
169	13280.8642578125	1075.7403564453125
170	13957.7607421875	1083.825927734375
171	12957.46875	1090.2325439453125
172	13419.69921875	1099.2796630859375
173	13183.37109375	1103.966552734375
174	13832.291015625	1110.8736572265625
175	13489.111328125	1117.15673828125
176	14745.41015625	1123.0047607421875
177	14444.73828125	1130.5
178	15492.37890625	1137.9471435546875
179	15294.0439453125	1145.1722412109375
180	15791.572265625	1153.272705078125
181	16239.978515625	1153.4036865234375
182	16423.935546875	1159.944091796875
183	17194.66015625	1167.3599853515625
184	17599.9765625	1176.260986328125
185	18028.876953125	1181.8935546875
186	18682.88671875	1185.884033203125
187	18957.591796875	1189.0352783203125
188	19473.544921875	1196.796630859375
189	20221.37890625	1206.000732421875
190	20801.9375	1216.1790771484375
191	21205.8671875	1217.5321044921875
192	21454.302734375	1228.7496337890625
193	21546.2734375	1231.6842041015625
194	22123.64453125	1236.030517578125
195	22541.3828125	1241.1787109375
196	22504.728515625	1251.688232421875
197	22433.6875	1257.1153564453125
198	21925.97265625	1261.3385009765625
199	22111.013671875	1270.031494140625
200	21078.8671875	1270.605712890625
201	20494.6640625	1281.677978515625
202	19557.974609375	1290.0535888671875
203	19042.966796875	1295.8841552734375
204	17863.994140625	1293.385986328125
205	17055.14453125	1305.7650146484375
206	15859.12890625	1308.22607421875
207	15259.0048828125	1315.475830078125
208	14109.2548828125	1325.5679931640625
209	13390.6171875	1330.282958984375
210	13090.47265625	1337.228271484375
211	12828.7998046875	1343.8172607421875
212	13039.869140625	1355.724609375
213	12921.6337890625	1357.505615234375
214	13865.947265625	1360.4425048828125
215	13898.109375	1368.5980224609375
216	14688.8701171875	1372.170166015625
217	15396.7587890625	1378.2822265625
218	15709.1884765625	1393.926025390625
219	16298.8203125	1393.89892578125
220	16563.369140625	1402.29833984375
221	17092.314453125	1407.2294921875
222	17400.46875	1415.389892578125
223	17588.42578125	1418.62109375
224	18404.423828125	1421.7481689453125
225	17525.970703125	1432.7401123046875
226	19222.2109375	1437.2181396484375
227	17278.859375	1448.89111328125
228	19322.462890625	1446.419189453125
229	18388.525390625	1454.8253173828125
230	18397.115234375	1466.4647216796875
231	18671.693359375	1467.5733642578125
232	17259.9375	1476.374755859375
233	17469.337890625	1480.4940185546875
234	14536.8955078125	1489.27099609375
235	15352.037109375	1496.1763916015625
236	12954.72265625	1501.0924072265625
237	13443.609375	1506.0089111328125
238	14041.5771484375	1508.0416259765625
239	12578.9306640625	1516.7318115234375
240	13846.193359375	1524.1942138671875
241	13743.61328125	1529.3448486328125
242	13635.2939453125	1538.8505859375
243	14738.5361328125	1546.580810546875
244	14905.765625	1547.232666015625
245	15947.861328125	1555.7030029296875
246	16203.2578125	1564.0872802734375
247	16719.115234375	1569.540771484375
248	17273.818359375	1577.286865234375
249	17487.009765625	1582.593017578125
250	18362.529296875	1586.5355224609375
251	18502.662109375	1596.2293701171875
252	19736.431640625	1600.740234375
253	19391.16796875	1606.4490966796875
254	20237.123046875	1614.200927734375
255	20629.8984375	1618.3096923828125
256	21032.84765625	1621.4384765625
257	21344.7734375	1634.7825927734375
258	20672.982421875	1636.1829833984375
259	21142.259765625	1640.8048095703125
260	20368.650390625	1645.1954345703125
261	19445.03125	1654.4609375
262	18305.55078125	1658.70703125
263	17072.8046875	1665.5328369140625
264	16345.7080078125	1672.2127685546875
265	15503.94140625	1678.9888916015625
266	14675.5830078125	1684.5584716796875
267	14732.4482421875	1690.71728515625
268	14380.140625	1697.2164306640625
269	14784.4736328125	1703.0467529296875
270	14377.03515625	1709.49658203125
271	15164.2890625	1712.9381103515625
272	15418.6025390625	1722.4356689453125
273	15792.2548828125	1726.1253662109375
274	16070.455078125	1729.164794921875
275	16762.0078125	1745.9359130859375
276	17622.94921875	1745.5723876953125
277	17541.443359375	1753.9068603515625
278	18440.576171875	1756.939453125
279	18000.669921875	1763.353515625
280	19491.029296875	1768.2257080078125
281	18099.1640625	1773.7806396484375
282	19607.87109375	1782.182373046875
283	17858.392578125	1789.760986328125
284	19639.88671875	1796.9461669921875
285	19079.953125	1801.3814697265625
286	19053.01953125	1810.093994140625
287	19853.966796875	1811.7476806640625
288	18298.888671875	1815.88134765625
289	19260.609375	1826.873291015625
290	17703.9140625	1829.2119140625
291	17665.083984375	1836.770751953125
292	17781.96875	1843.837890625
293	16735.0234375	1849.8316650390625
294	17577.232421875	1856.080810546875
295	17426.896484375	1862.3878173828125
296	18037.65234375	1865.7152099609375
297	17398.6796875	1872.412841796875
298	17992.568359375	1878.0960693359375
299	18420.720703125	1886.2352294921875
300	18378.0625	1888.552978515625
301	19094.26953125	1897.0067138671875
302	19506.953125	1907.5367431640625
303	20587.712890625	1908.3431396484375
304	20007.10546875	1916.940185546875
305	21241.517578125	1926.0394287109375
306	20393.544921875	1927.7998046875
307	21638.294921875	1933.42236328125
308	21453.375	1941.7900390625
309	21663.71875	1947.5140380859375
310	22324.591796875	1953.196044921875
311	21958.193359375	1957.413330078125
312	22713.998046875	1969.5311279296875
313	22446.38671875	1972.0172119140625
314	22717.4765625	1978.5382080078125
315	22240.900390625	1985.170166015625
316	21674.64453125	1992.8310546875
317	21694.857421875	1995.869873046875
318	21040.521484375	2004.2637939453125
319	20893.4375	2010.6195068359375
320	20352.923828125	2016.08837890625
321	20010.6640625	2018.253173828125
322	19918.091796875	2025.551513671875
