,tsne_x,tsne_y
2,-10.580137252807617,29.62125015258789
2,-11.019397735595703,28.813661575317383
2,-11.587753295898438,30.99846649169922
2,-11.576552391052246,29.554859161376953
2,-11.320174217224121,28.477542877197266
2,-11.61575984954834,29.076160430908203
2,-14.229935646057129,28.253875732421875
2,-10.528523445129395,29.174373626708984
2,-12.65480899810791,29.404186248779297
2,-9.881288528442383,29.122303009033203
2,-9.429030418395996,27.90186882019043
2,-8.691449165344238,27.329801559448242
2,-15.519217491149902,27.054492950439453
2,-12.323212623596191,28.69388198852539
0,-4.075545787811279,27.96799087524414
2,-10.676798820495605,27.962465286254883
2,-13.278962135314941,21.109025955200195
3,-12.21353816986084,20.161319732666016
2,-11.242526054382324,31.50590705871582
2,-10.505644798278809,28.716053009033203
3,-12.860918998718262,17.617382049560547
3,-12.598040580749512,20.7528018951416
2,-10.141382217407227,27.787805557250977
3,-12.780354499816895,16.723190307617188
2,-14.883403778076172,27.198638916015625
3,-15.857527732849121,13.726101875305176
1,28.441665649414062,-13.955720901489258
2,-4.825072765350342,28.168272018432617
2,-10.21923542022705,27.02005386352539
0,-3.0541255474090576,27.45045280456543
2,-11.203031539916992,31.59343147277832
0,-3.453230619430542,28.17820167541504
2,-4.591223239898682,28.338600158691406
2,-11.840963363647461,28.313961029052734
2,-10.489474296569824,26.909881591796875
0,-2.432905912399292,27.723602294921875
3,-14.965691566467285,13.172133445739746
2,-12.201408386230469,27.33363914489746
2,-14.603353500366211,26.58149528503418
3,-15.071178436279297,13.400321960449219
3,-15.465128898620605,13.973175048828125
3,-12.805140495300293,18.20255470275879
2,-9.4702730178833,27.56354331970215
3,-13.708645820617676,14.924484252929688
7,-16.478303909301758,13.017166137695312
2,-15.317090034484863,25.954496383666992
5,8.230649948120117,-22.468639373779297
2,-15.52444839477539,26.613313674926758
0,-2.542262077331543,24.874298095703125
5,8.16455364227295,-22.415176391601562
2,-8.85234260559082,26.849355697631836
0,-2.7836217880249023,28.17816734313965
7,-16.12103271484375,10.949275016784668
2,-13.551382064819336,25.680187225341797
2,-15.321314811706543,26.568632125854492
7,-16.812950134277344,11.890599250793457
1,27.68948745727539,-14.469931602478027
2,-14.20077896118164,25.543563842773438
0,-0.9525426626205444,27.003379821777344
7,-17.93856430053711,11.563492774963379
1,27.57517433166504,-13.011067390441895
1,27.9143123626709,-15.074414253234863
2,-10.250602722167969,25.187679290771484
2,-14.568283081054688,26.008991241455078
3,-11.372117042541504,20.184444427490234
0,-2.357018232345581,27.12652587890625
3,-11.305846214294434,20.903614044189453
3,-12.018576622009277,19.002361297607422
7,-18.153337478637695,10.806670188903809
7,-18.311046600341797,11.26300048828125
3,-12.480842590332031,15.374771118164062
2,-9.223978996276855,26.984783172607422
2,-14.692608833312988,24.986698150634766
7,-17.57062530517578,11.029069900512695
7,-17.338502883911133,11.658204078674316
0,-3.035264015197754,27.16699981689453
2,-9.73930835723877,23.07340431213379
1,27.30417251586914,-13.930519104003906
3,-15.225744247436523,12.640922546386719
3,-11.052698135375977,21.217500686645508
2,-11.093123435974121,24.986042022705078
7,-16.8555965423584,10.481792449951172
7,-17.581825256347656,10.185518264770508
1,26.50031280517578,-13.004106521606445
1,27.560649871826172,-13.578181266784668
2,-10.398852348327637,22.006750106811523
0,-0.9066039323806763,27.21279525756836
1,25.655601501464844,-12.505402565002441
0,-0.9048069715499878,26.28486442565918
1,26.882858276367188,-15.653023719787598
2,-14.625959396362305,24.951997756958008
2,-9.312082290649414,25.931005477905273
2,-10.240764617919922,22.042205810546875
0,-1.675417184829712,26.482650756835938
0,-0.5571075677871704,25.317832946777344
0,-2.450382947921753,26.707563400268555
3,-11.913500785827637,14.853815078735352
5,7.963241100311279,-22.392837524414062
0,-5.932744026184082,24.59595489501953
4,-4.7304582595825195,-27.78363800048828
3,-11.660843849182129,15.166312217712402
1,26.335205078125,-13.865850448608398
3,-11.185792922973633,14.75055980682373
4,-5.240356922149658,-27.589994430541992
4,-4.280432224273682,-26.71615219116211
0,0.5565535426139832,26.202552795410156
0,-1.9001283645629883,27.453689575195312
3,-10.777450561523438,21.068206787109375
1,26.327274322509766,-14.905570983886719
5,17.751283645629883,-24.597776412963867
7,-17.804859161376953,9.935310363769531
4,-4.637507915496826,-27.244949340820312
5,8.244741439819336,-10.957902908325195
7,-17.177377700805664,10.466633796691895
7,-16.55929946899414,9.504323959350586
