	log_likelihood
453	27.284256
454	19.945196
455	27.878479
456	26.02773
457	28.476507
458	24.105433
459	29.24622
460	23.987045
461	27.587778
462	22.339605
463	26.818548
464	26.952408
465	26.10206
466	27.560268
467	27.373287
468	27.039072
469	25.33773
470	28.1109
471	25.80892
472	26.842966
473	26.19395
474	27.786179
475	21.16811
476	27.591267
477	24.40448
478	24.757717
479	27.115173
480	22.53305
481	26.12232
482	20.928598
483	27.049738
484	27.509007
485	23.824408
486	25.719131
487	28.456448
488	26.927572
489	25.420671
490	27.901068
491	20.004957
492	28.048023
493	22.829884
494	27.920935
495	26.833874
496	25.942083
497	20.67228
498	27.066793
499	28.566921
500	26.734076
501	25.39307
502	27.677883
503	27.944492
504	24.734165
505	18.95511
506	26.07111
507	24.67425
508	26.707592
509	26.945545
510	21.752127
511	27.116863
512	18.06089
513	27.312723
514	25.009312
515	26.891626
516	26.915604
517	27.225733
518	21.349392
519	28.333408
520	25.894619
521	19.69035
522	19.617493
523	22.519733
524	23.944881
525	22.789204
526	23.568913
527	22.235046
528	17.776508
529	18.696697
530	25.080212
531	23.874256
532	21.559238
533	22.642673
534	22.47337
535	23.115192
536	23.110985
537	24.657642
538	20.305202
539	23.624487
540	23.504742
541	21.041866
542	24.686914
543	20.015392
544	23.407152
545	22.970955
546	23.393238
547	23.34442
548	24.277905
549	21.53011
550	13.66776
551	23.271305
552	26.44773
553	20.951445
554	23.916376
555	19.613384
556	23.382612
557	20.28136
558	20.89124
559	23.832952
560	24.09115
561	21.6469
562	20.610441
563	21.726475
564	25.123644
565	22.456387
566	20.1517
567	27.224524
568	28.160236
569	20.74432
570	21.23608
