9.987770915031433105e-01	9.999800920486450195e-01	9.999995231628417969e-01	9.811305403709411621e-01	2.955120180558878928e-05	2.226258963346481323e-01	7.922755554318428040e-03	9.946042895317077637e-01	9.999953508377075195e-01	8.799077272415161133e-01
9.897919893264770508e-01	9.999643564224243164e-01	9.999974966049194336e-01	9.906614422798156738e-01	2.352734009036794305e-05	7.048160303384065628e-03	4.881073534488677979e-02	4.202927947044372559e-01	9.999067783355712891e-01	8.435848951339721680e-01
9.985387325286865234e-01	9.999283552169799805e-01	9.999978542327880859e-01	9.959115982055664062e-01	5.188041832298040390e-04	1.074780896306037903e-01	3.782911002635955811e-01	9.851096868515014648e-01	9.999988079071044922e-01	9.760593175888061523e-01
9.998559951782226562e-01	9.999501705169677734e-01	9.999698400497436523e-01	9.946436882019042969e-01	1.210136059671640396e-02	3.086085021495819092e-01	1.214606687426567078e-03	9.931245446205139160e-01	9.999970197677612305e-01	9.965992569923400879e-01
9.998352527618408203e-01	9.999735355377197266e-01	9.999964237213134766e-01	9.886763095855712891e-01	5.727944080717861652e-04	3.161558806896209717e-01	3.937119909096509218e-04	9.914479255676269531e-01	9.999958276748657227e-01	8.742020726203918457e-01
9.897497296333312988e-01	9.999734163284301758e-01	9.999983310699462891e-01	8.963746428489685059e-01	1.111851423047482967e-03	9.817908704280853271e-02	6.180799007415771484e-02	9.717953205108642578e-01	9.999995231628417969e-01	9.830666780471801758e-01
9.852948188781738281e-01	9.999141693115234375e-01	9.999995231628417969e-01	9.986552000045776367e-01	3.722675319295376539e-04	3.579938784241676331e-02	3.776515722274780273e-01	8.461514711380004883e-01	9.997144341468811035e-01	9.895243048667907715e-01
9.997124075889587402e-01	9.999665021896362305e-01	9.999881982803344727e-01	9.959673881530761719e-01	9.760997490957379341e-04	1.328316181898117065e-01	2.712265355512499809e-03	9.712868332862854004e-01	9.999986886978149414e-01	9.821020364761352539e-01
9.933242201805114746e-01	9.999861717224121094e-01	9.999990463256835938e-01	9.798363447189331055e-01	1.507577544543892145e-04	6.461420096457004547e-03	3.529366804286837578e-03	9.918487071990966797e-01	9.999943971633911133e-01	9.903140664100646973e-01
8.914667963981628418e-01	9.999462366104125977e-01	9.999985694885253906e-01	8.060882091522216797e-01	1.696914620697498322e-02	1.543999165296554565e-01	1.992652891203761101e-03	9.959207773208618164e-01	9.999799728393554688e-01	9.925092458724975586e-01
8.209879994392395020e-01	9.993010759353637695e-01	9.999989271163940430e-01	9.173163175582885742e-01	1.604060642421245575e-02	4.481914266943931580e-02	1.820825127651914954e-04	9.993410706520080566e-01	9.999780654907226562e-01	9.725871682167053223e-01
