4.900486128670828584e-02	4.113985573975399712e-02	5.776710602248213283e-02	5.206238989736519662e-02	1.781944235165914062e-02	4.703468662890569751e-02	3.670210451693148301e-02
5.159601036991391387e-01	4.468965916186088960e-01	5.285756892074470192e-01	4.446571543325785747e-01	4.614795794089635028e-01	5.006599743802175873e-01	4.908578245489447212e-01
2.923167745272318638e-02	3.309808657007309862e-02	3.009564470248207030e-02	2.265186870799345067e-02	1.994788249333699637e-02	2.594993238255348042e-02	1.561142302848197300e-02
5.850949812503088154e-02	5.011263480078440719e-02	4.586702297738127349e-02	4.530373741598690135e-02	4.550189971923827847e-02	3.651907750769070593e-02	5.726223163776569813e-02
5.643693464142935518e-02	2.823052205699932982e-02	6.649887293481367145e-02	2.718224244959214012e-02	4.212302366892496652e-02	6.285252904784328909e-02	6.533322033581433208e-02
4.125876086098807446e-03	1.345916859154562377e-02	1.455011960650052540e-02	9.060747483197380617e-03	1.901811758677164621e-02	1.564666326105191088e-02	1.743784251513781983e-02
2.802493600618271435e-02	4.168969064854495532e-02	3.490050301546707839e-02	3.171261619119083303e-02	2.310490608215332031e-02	2.503466121768305533e-02	3.434513066266033782e-02
5.433747881934756357e-02	6.187844353586338664e-02	4.785662423120561754e-02	1.812149496639476123e-02	4.381246169408162250e-02	5.529507342095299482e-02	3.434513066266033782e-02
5.675096171242850068e-02	4.880044992687632838e-02	5.745876512599017161e-02	5.590413286795024167e-02	5.247680147488911762e-02	5.919399218419335584e-02	6.009380237476245890e-02
1.115571203685942203e-01	9.683854988863553614e-02	9.174615087233171928e-02	1.068486949197607061e-01	1.100219170252482032e-01	9.650814990695927298e-02	1.049316498610350507e-01
2.888113260269165039e-02	2.916153194834885179e-02	2.940858010949301549e-02	3.889308879578035755e-02	3.465735912322998047e-02	3.377326401307943760e-02	2.185599223987476358e-02
1.000726606164659832e-01	1.107784783570125997e-01	1.107112648402762967e-01	1.113790686613593955e-01	1.186862568060556983e-01	1.318205861420986558e-01	1.020353248527458151e-01
1.241301865804763094e-01	1.419149602501137697e-01	1.760435924652688500e-01	1.880547953586952370e-01	1.489832142988840868e-01	1.543181588364508638e-01	1.616545303447826376e-01
1.237762825829642234e-02	1.570236335680322629e-02	2.724478916851015217e-02	9.060747483197380617e-03	2.021679282188415527e-02	1.095266428273633692e-02	3.434513066266033782e-02
1.234025444303240154e-01	1.142379257671269771e-01	1.469214982158501548e-01	1.283901127335292935e-01	1.316592375437418694e-01	1.445581886084838508e-01	1.187447792774922184e-01
1.564730774788629375e-02	8.972779061030415268e-03	2.197934985799676957e-02	9.060747483197380617e-03	2.310490608215332031e-02	1.408199693494671841e-02	1.561142302848197300e-02
2.434118730681283232e-02	1.252815870019610180e-02	1.637937938285410552e-02	9.060747483197380617e-03	5.776226520538330078e-03	1.747720559079275759e-02	1.561142302848197300e-02
