	log_likelihood
452	20.951967
453	9.894644
454	16.295986
455	12.941394
456	18.950405
457	23.606846
458	15.710192
459	17.595997
460	22.285614
461	19.479351
462	22.174305
463	14.220076
464	19.627493
465	23.218746
466	21.344898
467	12.878726
468	21.71529
469	22.129848
470	15.010132
471	23.147251
472	13.790756
473	11.906973
474	21.974417
475	14.948797
476	22.441448
477	20.705044
478	20.732546
479	17.119467
480	13.118919
481	15.891998
482	15.351405
483	19.41587
484	20.769176
485	16.195374
486	14.725253
487	14.964752
488	18.773624
489	14.892973
490	20.623547
491	17.316135
492	20.41846
493	17.462353
494	19.315922
495	22.172068
496	18.012152
497	19.982388
498	16.143616
499	17.706158
500	18.16723
501	19.022142
502	12.349157
503	17.136007
504	19.527622
505	12.51359
506	15.939238
507	5.241629
508	18.476593
509	18.360983
510	15.818141
511	17.996147
512	17.317501
513	12.682189
514	18.428518
515	16.037786
516	16.872372
517	21.726019
518	15.089696
519	7.213952
520	17.021938
521	18.052832
522	24.226803
523	23.53279
524	17.4712
525	20.01322
526	15.129321
527	15.774814
528	11.263972
529	7.7546616
530	15.431195
531	0.32976195
532	19.352404
533	17.5404
534	18.679174
535	19.543015
536	21.895016
537	23.56751
538	18.75159
539	15.431722
540	9.147244
541	5.208842
542	22.917599
543	17.610844
544	4.1174836
545	8.938707
546	23.78681
547	18.930004
548	16.576283
549	22.301126
550	10.079435
551	17.21708
552	22.409637
553	13.969772
554	17.448421
555	22.339132
556	15.476202
557	10.592154
558	18.767149
559	10.082998
560	22.138706
561	15.149088
562	20.744879
563	17.816652
564	17.35667
565	19.875093
566	21.099232
567	11.454159
568	16.920938
569	14.082512
570	12.026114
571	14.280856
572	15.635401
573	22.289055
574	24.058096
575	16.813719
576	20.269833
577	17.031437
578	2.6604862
579	10.319021
580	5.915414
581	10.43261
582	20.526684
583	16.29404
584	19.919302
585	22.740183
586	5.2940207
587	18.1344
588	18.587566
589	16.478634
590	19.017202
591	18.836275
592	17.068384
593	10.577526
594	16.954624
595	23.44184
596	22.210308
597	17.032833
598	20.267942
599	21.46449
600	14.342146
601	19.944271
602	21.74084
603	20.13562
604	22.80447
605	9.755418
606	22.18653
607	15.229691
608	16.06129
609	22.693773
610	22.444195
611	12.139559
612	10.263759
613	14.391131
614	14.055972
615	16.68932
616	16.70414
617	17.8242
618	20.454264
619	19.66161
620	22.268177
621	17.342869
622	13.846237
623	21.064661
624	22.166111
625	16.070889
626	16.87077
627	22.783136
628	20.686413
629	0.5019862
630	14.877207
631	17.925562
632	4.126405
633	19.517002
634	17.850624
635	12.930021
636	19.411968
637	16.522182
638	19.611835
639	18.331581
640	19.645868
641	16.440596
642	13.347038
643	17.367556
644	18.292713
645	8.676434
646	19.437927
647	15.974472
648	24.384226
649	17.1533
650	15.060483
651	22.47073
652	20.939749
653	15.2036
654	20.736917
655	21.746738
656	14.595599
657	13.970087
658	16.615984
659	17.028034
660	18.746983
661	20.987467
662	15.243329
663	14.500287
664	8.383664
665	11.48826
666	12.408467
667	20.823212
668	19.830198
669	2.991067
670	18.314272
671	23.652592
672	11.400789
673	19.943148
674	15.633453
675	14.332411
676	18.97511
677	19.911268
678	15.535703
679	20.978369
680	17.654537
681	14.905668
682	18.144672
683	17.13947
684	11.768494
685	18.484304
686	23.230217
687	18.027401
688	23.238789
689	22.04803
690	15.960132
691	14.073257
692	23.991375
693	21.856762
694	19.429436
695	16.341293
696	14.408582
697	17.81094
698	15.014018
699	18.425787
700	21.646502
701	9.950269
702	18.93267
703	18.161234
704	22.565756
705	16.949766
706	18.650986
707	8.836191
708	19.802929
709	16.842789
710	21.307674
711	20.00269
712	17.819315
713	18.743866
714	20.233961
715	12.379308
716	17.933567
717	18.645285
718	17.031956
719	17.340668
720	22.493683
721	21.642384
722	10.878633
723	9.994726
724	10.600522
725	13.250349
726	20.628174
727	15.312143
728	17.680508
729	15.570379
730	18.774097
731	17.968756
732	15.793879
733	16.286823
734	19.301281
735	10.382108
736	19.079107
737	16.427801
738	15.062161
739	10.713578
740	21.839886
741	20.240757
742	17.234024
743	18.677605
744	-0.9293674
745	17.38345
746	15.190089
747	18.132639
748	16.013273
749	10.197279
750	12.348597
751	17.6571
752	16.69868
753	20.028797
754	20.406908
755	22.493868
756	17.582043
757	19.131763
758	20.930918
759	12.389484
760	16.841381
761	16.522024
762	11.500063
763	19.685793
764	11.54685
765	16.785126
766	7.0629196
767	18.366549
768	22.669548
769	6.6692376
770	21.69405
771	17.218103
772	18.97573
773	15.13841
